model_name,eval_model,action_recognition_accuracy,reidentification_accuracy,original_actor_accuracy,mse_gt,mse_reference,bone_length_consistency,joint_angle_limits,temporal_smoothness,velocity_consistency,foot_contact_consistency,gender_classification_orig,gender_classification_ret,gender_classification_cross,privacy_utility_score
Raw Skeleton (No Anonymization),sgn,90.2125,1.2,81.275,0.039125337749545,0.0,0.01560192296589186,96.09985301537553,0.02645970315596787,0.999999999998212,100.0,97.6625,53.1625,97.13983050847457,89.0125
Pose Motion Retargeting (PMR),sgn,17.8,6.4125,17.1375,0.03574100065269158,0.008230094539569108,0.0345881479232078,92.53069957386366,0.058899530072929335,0.017543984683678848,73.31934521831572,80.6875,52.5875,79.64135021097046,11.387500000000001
Deep Motion Retargeting (DMR),sgn,32.825,6.3625,22.9125,0.03511783909905353,0.004662052000527183,0.018811589445699103,97.08322088068158,0.01369826597959036,0.0929339996438778,82.6943449638784,80.7125,53.7375,77.98236514522821,26.462500000000002
Raw Skeleton (No Anonymization),mixformer,80.0875,0.95,84.0875,0.03910586455813609,0.0,0.01570360263060636,95.92707741477216,0.02681878779787803,0.9999999999982119,100.0,98.0875,52.6875,97.78947368421052,79.1375
Pose Motion Retargeting (PMR),mixformer,18.925,6.5625,14.175,0.03615693379167351,0.008147570876026293,0.034720479438128,92.59183238636325,0.05922500121803023,0.017703777861851743,73.05773808471858,78.2875,49.9375,79.77941176470588,12.3625
Deep Motion Retargeting (DMR),mixformer,28.8625,6.425,18.6875,0.036450395185267555,0.0046148629128583704,0.018828448953928417,97.1521839488635,0.013758028133888729,0.09299555326430216,82.7224203845486,80.6125,55.4125,77.7533039647577,22.4375
