stage,epoch,paired,loss,val_loss
1,1,True,11.461163280657749,nan
1,2,True,6.269707522952966,nan
1,3,True,5.254532177912209,nan
1,4,True,4.688041380863408,nan
1,5,True,4.353787100650021,nan
2,6,False,2.007841995305747,nan
2,7,False,1.8307931892085398,nan
2,8,False,1.6758338736445797,nan
2,9,False,1.5622983412985747,nan
2,10,False,1.4773995367098798,nan
2,11,False,1.4115909982422263,nan
2,12,False,1.3576595198971673,nan
2,13,False,1.310465086077056,nan
2,14,False,1.2686978061911218,nan
2,15,False,1.2329253645518816,nan
2,16,False,1.2003537465456746,nan
2,17,False,1.1697577867622058,nan
2,18,False,1.1402500299707783,nan
2,19,False,1.116692442799706,nan
2,20,False,1.09504144620945,nan
2,21,False,1.0716490140814687,nan
2,22,False,1.0527035995899205,nan
2,23,False,1.0323054923847488,nan
2,24,False,1.0162846023656824,nan
2,25,False,0.9965673392322631,nan
5,26,False,0.9808845357517795,nan
5,27,False,0.9629093098466776,nan
5,28,False,0.9467100947009909,nan
5,29,False,0.9327881588648063,nan
5,30,False,0.9163476340356405,0.7809146543960888
5,31,False,0.9068918739223579,nan
5,32,False,0.8950136440353512,nan
5,33,False,0.883636002299937,nan
5,34,False,0.8735490511408953,nan
5,35,False,0.8653752988012474,0.7253934571338243
5,36,False,0.8539947149780861,nan
5,37,False,0.844634508305112,nan
5,38,False,0.8336009925287546,nan
5,39,False,0.8251849600539372,nan
5,40,False,0.8144857710407626,0.686895937097739
5,41,False,0.8081320675553194,nan
5,42,False,0.800152807807575,nan
5,43,False,0.7921323613433262,nan
5,44,False,0.7842582821473867,nan
5,45,False,0.7782010971631518,0.6586150565255996
5,46,False,0.7703805347200983,nan
5,47,False,0.7639553424098862,nan
5,48,False,0.7574722410550847,nan
5,49,False,0.7508445876446028,nan
5,50,False,0.745452310149553,0.6301257224680227
5,51,False,0.738065168277034,nan
5,52,False,0.7321961011028191,nan
5,53,False,0.72560729267818,nan
5,54,False,0.7224528911396566,nan
5,55,False,0.7172480410393269,0.6083132052026674
