epoch,train_loss,train_acc,val_loss,val_acc
1,0.5033977522398345,79.9163818359375,0.180628687373939,92.39583333333333
2,0.2744987417681841,88.6444091796875,0.2161593541336645,91.26488095238095
3,0.24137550131126773,90.2099609375,0.16785678427369843,92.82738095238095
4,0.2153357209681417,91.253662109375,0.31843505852593806,87.29166666666667
5,0.20901932277774904,91.552734375,0.1791253557788228,92.98363095238095
6,0.1994967498249025,91.7724609375,0.24704232865555067,89.99255952380952
7,0.18547760258661583,92.5201416015625,0.21206966859331478,91.11607142857143
8,0.17636346742801834,92.9595947265625,0.18702015609420153,92.57440476190476
9,0.16964202028611908,93.0633544921875,0.16206478803971897,93.89136904761905
10,0.16334499748336384,93.524169921875,0.1728239199405098,93.34077380952381
11,0.1621184685100161,93.548583984375,0.17248085587946532,93.17708333333333
12,0.15217004196892958,93.9300537109375,0.15448728085221297,93.60119047619048
13,0.1450926813740807,94.183349609375,0.16157291559653197,93.69047619047619
14,0.13730551556000137,94.5526123046875,0.20871567127459068,91.93452380952381
15,0.1327986373071326,94.8699951171875,0.14536312528228207,94.30059523809524
16,0.12942369330994552,94.9615478515625,0.1643203681591699,93.48214285714286
17,0.13097007130090788,95.03173828125,0.16203474910909704,93.75
18,0.12314837126177736,95.2178955078125,0.15047704830955072,94.06994047619048
19,0.12401895716175204,95.233154296875,0.1718702709998806,93.44494047619048
20,0.11784407118830131,95.2880859375,0.210321291663448,91.65922619047619
21,0.11948770429444266,95.263671875,0.1537507943786555,93.86160714285714
22,0.11227707294074207,95.6573486328125,0.17251699520728878,93.21428571428571
23,0.11174549158749869,95.5535888671875,0.1487328528742745,94.55357142857143
24,0.10987598990868719,95.7305908203125,0.19589151740555757,92.45535714285714
25,0.10442713118300162,95.9869384765625,0.1589375966396823,94.02529761904762
26,0.10273271858568478,95.88623046875,0.1591631283871244,93.83928571428571
27,0.1012614216451766,96.1212158203125,0.15791897056904938,93.60119047619048
28,0.10250765347154811,96.1883544921875,0.16728904449912427,94.01041666666667
29,0.09591637184348656,96.392822265625,0.15613822637375657,94.11458333333333
30,0.09631192594497406,96.270751953125,0.1638304317224105,93.8764880952381
31,0.07431650483886187,97.259521484375,0.14973440940290336,94.1889880952381
32,0.06910653578052006,97.430419921875,0.1642305898319873,94.21130952380952
33,0.06897483383727376,97.30224609375,0.15979334399612743,94.11458333333333
34,0.06666129709174129,97.467041015625,0.15597928296708471,94.41220238095238
35,0.062000954860195634,97.607421875,0.1628188173944187,94.33779761904762
36,0.06082472379148385,97.6837158203125,0.1442609113679964,94.72470238095238
37,0.0606600578112193,97.6318359375,0.15296565737614315,94.50892857142857
38,0.06234243981543841,97.6470947265625,0.15831464887643548,94.30803571428571
39,0.05840717860155564,97.723388671875,0.1564388908103635,94.53125
40,0.0582108619569226,97.8363037109375,0.15395776139091485,94.3452380952381
41,0.06116319722514163,97.71728515625,0.14898736477832375,94.51636904761905
42,0.05664000517845125,97.833251953125,0.17195747338497866,93.64583333333333
43,0.0598532026506291,97.75390625,0.15530260817884894,94.52380952380952
44,0.05915749651921942,97.845458984375,0.16286415720858963,94.06994047619048
45,0.05763834940717061,97.7813720703125,0.15259033477537914,94.60565476190476
46,0.055187320647746674,97.9034423828125,0.16235127090475263,94.22619047619048
47,0.05605476819073374,97.8271484375,0.15566267167473327,94.67261904761905
48,0.05513878886540624,97.86376953125,0.1642126422738968,94.20386904761905
49,0.05864659338021738,97.8515625,0.1637875347848925,94.14434523809524
50,0.053894353634859726,98.040771484375,0.14345388148570676,95.14136904761905
51,0.05574949063066015,97.882080078125,0.15649338378326602,94.55357142857143
52,0.053431618186095875,97.9949951171875,0.1647404765708865,94.1889880952381
53,0.05605162629035476,97.906494140625,0.1577411864223845,94.47172619047619
54,0.054397624852299487,97.900390625,0.16422664616520327,94.4047619047619
55,0.05497905286256355,97.9278564453125,0.15776303835377153,94.36011904761905
56,0.054238081661424076,97.9461669921875,0.15919062302072412,94.32291666666667
57,0.051998710015141114,97.9644775390625,0.1554135023591752,94.72470238095238
58,0.052703419438785204,98.0194091796875,0.16679384937290684,94.3452380952381
59,0.054342324465324054,98.040771484375,0.17022887531336003,94.09970238095238
60,0.052227075540031365,98.028564453125,0.1783830525022484,93.79464285714286
61,0.049107614818694856,98.15673828125,0.16977380485249113,94.0625
62,0.0499077596468851,98.10791015625,0.16942720993966662,94.20386904761905
63,0.0495917175003342,98.0682373046875,0.16697993590778532,94.35267857142857
64,0.0490448123364331,98.18115234375,0.1653070789875409,94.47172619047619
65,0.04929462211293867,98.1109619140625,0.15845490483824062,94.57589285714286
66,0.04754487486388825,98.22998046875,0.15992537713761598,94.67261904761905
67,0.04938358761228301,98.14453125,0.16854073229366934,94.07738095238095
68,0.04902582108115894,98.1719970703125,0.17261839392343475,93.96577380952381
69,0.0450937100322335,98.3551025390625,0.1588019986965811,94.46428571428571
70,0.04654327465550523,98.291015625,0.16192320107020514,94.59821428571429
71,0.049345062178190346,98.10791015625,0.1848943073627262,93.44494047619048
72,0.047471428865719645,98.2269287109375,0.16563875857199467,94.44940476190476
73,0.0489304889624691,98.1353759765625,0.16817664827147524,94.30059523809524
74,0.04712689134521497,98.297119140625,0.1686483250968387,94.24107142857143
75,0.048519429196858255,98.1964111328125,0.16470808917790042,94.30803571428571
76,0.048291527749825036,98.2147216796875,0.17208801665015747,94.15178571428571
77,0.04821297153921478,98.1292724609375,0.1831081278221112,93.61607142857143
78,0.04601772643127333,98.2696533203125,0.15943702011630823,94.58333333333333
79,0.04917848146487813,98.077392578125,0.1591661661120416,94.5014880952381
80,0.05035757985797318,98.1292724609375,0.17194052766047754,94.13690476190476
81,0.05008167637879524,98.1658935546875,0.15137628558176988,94.76190476190476
82,0.04524350743531613,98.22998046875,0.1657218493065286,94.35267857142857
83,0.04637050683277266,98.2177734375,0.15649995263097832,94.63541666666667
84,0.0463669397272497,98.2635498046875,0.1596314073932046,94.60565476190476
85,0.048863920659641735,98.1353759765625,0.1548020527721469,94.77678571428571
