Parameter,Best Value
batch_size,32.0
lr,9.43062936149491e-05
decoder_dropout,0.11551063114920847
loss_mse,5.323284271000699
loss_ee,4.7250245075017725
loss_smoothing,2.8747697025246937
loss_inception,3.0656068713914353
loss_fid_vel,2.2608337791442894
loss_bone,6.185377286837532
loss_foot,0.544125368059208
loss_joint_limit,1.768344443841404
Combined Score,0.5428178113506659
